1.213,0.709
8.03,9.036
2.718,2.616
4.716,3.913
7.624,6.448
0.415,0.311
2.013,2.531
1.737,2.211
3.018,12.167
0.41,0.412
0.413,0.316
1.42,1.217
6.044,4.922
0.511,1.414
2.616,2.717
0.814,1.316
1.419,3.825
0.311,0.215
3.115,2.424
0.511,0.628
0.812,0.617
2.039,3.222
5.128,5.924
0.609,0.724
8.856,5.119
7.789,26.776
0.514,1.62
0.417,0.314
0.525,0.307
0.913,1.015
0.512,1.52
0.913,11.06
0.711,0.617
1.314,1.51
2.115,2.128
1.219,9.629
4.156,39.314
2.315,0.413
8.08,7.352
5.747,3.922
1.009,2.037
1.355,9.737
8.175,4.621
2.333,2.421
1.614,2.515
2.224,23.175
0.412,0.307
0.413,0.41
1.222,9.84
0.935,1.529
253.648,556.933
0.21,0.214
1.019,0.611
1.231,2.225
3.578,1080.434
1.032,1.309
1.411,1.818
0.429,1.514
0.311,0.21
5.221,4.219
